Instruction,Input,Output,materi,question_id,Template
Write a Python function which takes in an argument and returns a corresponding string.,"Given an argument of 1,2 or 3","def get_string(arg):
    """"""
    This function takes in an argument and returns the corresponding
    string. 
 
    Parameters:
    arg (int): the argument

    Returns:
    str: the corresponding string
    """"""
    if arg == 1:
        return ""One""
    elif arg == 2:
        return ""Two""
    elif arg ==3:
        return ""Three""
    else:
        return """"",Data Type,10,"def get_string(arg):
    """"""
    This function takes in an argument and returns the corresponding
    string. 
 
    Parameters:
    arg (int): the argument

    Returns:
    str: the corresponding string
    """"""
    if arg == ___:
        return ""One""
    elif arg == ___:
        return ""Two""
    elif arg ==___:
        return ""Three""
    else:
        return """""
Design a Python algorithm to parse a list of strings and prints the longest string's length.,"listOfString= [""I"", ""am"", ""so"", ""happy""]","listStrings= [""I"", ""am"", ""so"", ""happy""]
longestStringLen = 0
for string in listStrings:
    if (len(string) > longestStringLen):
        longestStringLen = len(string)

print(longestStringLen)",Data Type,79,"listStrings= [""I"", ""am"", ""so"", ""happy""]
longestStringLen = ___
for string in listStrings:
    if (len(string) > longestStringLen):
        longestStringLen = len(string)

print(longestStringLen)"
Modify the following Python function to get the first index of the keyword within the string.,"def first_index(str, keyword):
    for i in range(len(str)):
        if str[i] == keyword:
            return i","def first_index(str, keyword):
    for i in range(len(str)):
        if str[i] == keyword:
            return i
    return -1",Data Type,117,"def first_index(str, keyword):
    for i in range(len(str)):
        if str[i] == keyword:
            return i
    return -___"
Write a function in Python that encodes a string using a simple algorithm.,"Text string:  ""Hello""","def encodeString (text):
    encoded_string = ''
    for char in text:
        encoded_char = ord(char) + 3
        encoded_string += chr(encoded_char)

    return encoded_string

encodeString(""Hello"")  # khoor",Data Type,132,"def encodeString (text):
    encoded_string = ''
    for char in text:
        encoded_char = ord(char) + ___
        encoded_string += chr(encoded_char)

    return encoded_string

encodeString(""Hello"")  # khoor"
Implement an algorithm to find a substring in a given string using a greedy approach in Python.,"string = ""This is a sample string""
substring = ""sample""","def find_substring(string, substring):
    start = 0
    result = """"
    while start < len(string):
        idx = string.find(substring, start)
        if idx == -1:
            break
        result += string[idx:idx+len(substring)]
        start = idx+len(substring)
    return result",Data Type,165,"def find_substring(string, substring):
    start = ___
    result = """"
    while start < len(string):
        idx = string.find(substring, start)
        if idx == -___:
            break
        result += string[idx:idx+len(substring)]
        start = idx+len(substring)
    return result"
Create a program in Python that takes a list of strings and returns a new list with each string reversed.,"[""Hello"", ""World""]","def reverse_list(strings):
    return [s[::-1] for s in strings]

strings = [""Hello"", ""World""]
print(reverse_list(strings))",Data Type,172,"def reverse_list(strings):
    return [s[::-___] for s in strings]

strings = [""Hello"", ""World""]
print(reverse_list(strings))"
Rewrite the code in Python so that it prints the length of a given string.,"string = ""Hello World""","string = ""Hello World""
print(len(string)) # prints 11",Data Type,187,"string = ""Hello World""
print(len(string)) # prints ___"
Build a mini classifier model in Python to predict whether a given string is palindrome or not.,'level',"class Palindrome:

def __init__(self, str):
    self.str = str

def is_palindrome(self):
    return self.str == self.str[::-1]

palindrome = Palindrome(""level"")
if palindrome.is_palindrome():
    print(""The string is a palindrome"")
else:
    print(""The string is not a palindrome"")",Data Type,189,"class Palindrome:

def __init__(self, str):
    self.str = str

def is_palindrome(self):
    return self.str == self.str[::-___]

palindrome = Palindrome(""level"")
if palindrome.is_palindrome():
    print(""The string is a palindrome"")
else:
    print(""The string is not a palindrome"")"
Create a Python function that returns the index of the nth occurrence of a substring in a given string.,"(""Hello World"", ""l"", 3)","def find_nth_occurrence(string, substring, n):
index = -1

while n > 0:
    n -= 1
    index = string.find(substring, index+1)

if index == -1:
    return None
else:
    return index

if __name__ == ""__main__"":
    result = find_nth_occurrence(""Hello World"", ""l"", 3)
    print(result)",Data Type,195,"def find_nth_occurrence(string, substring, n):
index = -___

while n > ___:
    n -= ___
    index = string.find(substring, index+___)

if index == -___:
    return None
else:
    return index

if __name__ == ""__main__"":
    result = find_nth_occurrence(""Hello World"", ""l"", ___)
    print(result)"
"Write a Python function to classify a given string based on the following conditions:
A) If the length of the string is less than 3, “Short”
B) If the string only contains alphabets, “Alphabet”
C) If the string only contains numbers, “Numeral”","string = ""ab1""","def classify_string(string):
    if len(string) < 3:
        return ""Short"" 
    elif string.isalpha():
        return ""Alphabet"" 
    elif string.isnumeric():
        return ""Numeral""",Data Type,208,"def classify_string(string):
    if len(string) < ___:
        return ""Short"" 
    elif string.isalpha():
        return ""Alphabet"" 
    elif string.isnumeric():
        return ""Numeral"""
